state,actor,state
ACCEPTED,PROJECT_MANAG,DCB_ACCEPTED
ACCEPTED,PROJECT_MANAG,CANCELED
ANALYSIS,ANALYST,REFINE
ANALYSIS,ANALYST,SPECIFIED
ANALYSIS,PROJECT_MANAG,ANALYSIS
ANALYSIS,PROJECT_MANAG,CANCELED
CONFIRMED,PROJECT_MANAG,INVOICED
DCB_ACCEPTED,ANALYST,IMPLEMENTATION
DCB_ACCEPTED,ANALYST,RELEASED
DCB_ACCEPTED,PROJECT_MANAG,RELEASED
DCB_ACCEPTED,PROJECT_MANAG,CANCELED
IMPLEMENTATION,ANALYST,IMPLEMENTATION
IMPLEMENTATION,ANALYST,IMPLREFINE
IMPLEMENTATION,DEVELOPER,RELEASED
IMPLEMENTATION,PROJECT_MANAG,CANCELED
IMPLREFINE,ANALYST,RIMPLEMENTATION
IMPLREFINE,CLIENT,RIMPLEMENTATION
IMPLREFINE,PROJECT_MANAG,CANCELED
INSTALLED,CLIENT,CONFIRMED
INSTALLED,CLIENT,RECLAIMED
INSTALLED,PROJECT_MANAG,CANCELED
NEW,CLIENT,POSTED
NEW,PROJECT_MANAG,POSTED
POSTED,PROJECT_MANAG,ANALYSIS
POSTED,PROJECT_MANAG,CANCELED
RANALYSIS,ANALYST,REFINE
RANALYSIS,ANALYST,SPECIFIED
RANALYSIS,PROJECT_MANAG,ANALYSIS
RANALYSIS,PROJECT_MANAG,CANCELED
RECLAIMED,ANALYST,IMPLEMENTATION
RECLAIMED,ANALYST,RELEASED
RECLAIMED,PROJECT_MANAG,RELEASED
REFINE,ANALYST,RANALYSIS
REFINE,CLIENT,RANALYSIS
REFINE,PROJECT_MANAG,CANCELED
RELEASED,PROJECT_MANAG,DCB_ACCEPTED
RELEASED,PROJECT_MANAG,INSTALLED
RELEASED,PROJECT_MANAG,CANCELED
RIMPLEMENTATION,ANALYST,IMPLEMENTATION
RIMPLEMENTATION,DEVELOPER,RELEASED
RIMPLEMENTATION,PROJECT_MANAG,CANCELED
SPECIFIED,CLIENT,RANALYSIS
SPECIFIED,CLIENT,ACCEPTED
SPECIFIED,PROJECT_MANAG,CANCELED
